problem,algorithm,noise_pct,trial,igd_auc,final_igd,n_batches
DTLZ2_5obj,NEHVI_SMS,20,2,9.097756796528117,0.4665516305911855,12
DTLZ2_5obj,NEHVI_SMS,20,3,7.411715849945797,0.5005650687745605,12
DTLZ2_5obj,NEHVI_SMS,20,4,7.802938577920776,0.48641889167775143,12
DTLZ2_5obj,Traditional_NEHVI,0,0,6.566089170044796,0.44799054299020263,12
DTLZ2_5obj,Traditional_NEHVI,0,1,6.903969978643896,0.45073606904357516,12
DTLZ2_5obj,Traditional_NEHVI,0,2,7.96288370000073,0.43529373046907444,12
DTLZ2_5obj,Traditional_NEHVI,0,3,8.71950642166242,0.47599860458212856,12
DTLZ2_5obj,Traditional_NEHVI,0,4,7.053288435718535,0.449580188499629,12
DTLZ2_5obj,Traditional_NEHVI,0,5,7.676034294679871,0.4791930204315025,12
DTLZ2_5obj,Traditional_NEHVI,0,6,7.7071748586523725,0.4570275606352271,12
DTLZ2_5obj,Traditional_NEHVI,0,7,5.515717327743827,0.4492626975819728,12
DTLZ2_5obj,Traditional_NEHVI,0,8,8.29708356682334,0.47532803752990616,12
DTLZ2_5obj,Traditional_NEHVI,0,9,7.003641629270517,0.4309517663900414,12
DTLZ2_5obj,Traditional_NEHVI,1,0,6.566089170044796,0.44799054299020263,12
DTLZ2_5obj,Traditional_NEHVI,1,1,6.903969978643896,0.45073606904357516,12
DTLZ2_5obj,Traditional_NEHVI,1,2,7.96288370000073,0.43529373046907444,12
DTLZ2_5obj,Traditional_NEHVI,1,3,8.71950642166242,0.47599860458212856,12
DTLZ2_5obj,Traditional_NEHVI,1,4,7.053288435718535,0.449580188499629,12
DTLZ2_5obj,Traditional_NEHVI,1,5,7.676034294679871,0.4791930204315025,12
DTLZ2_5obj,Traditional_NEHVI,1,6,7.7071748586523725,0.4570275606352271,12
DTLZ2_5obj,Traditional_NEHVI,1,7,5.515717327743827,0.4492626975819728,12
DTLZ2_5obj,Traditional_NEHVI,1,8,8.29708356682334,0.47532803752990616,12
DTLZ2_5obj,Traditional_NEHVI,1,9,7.003641629270517,0.4309517663900414,12
DTLZ2_5obj,Traditional_NEHVI,5,0,6.566089170044796,0.44799054299020263,12
DTLZ2_5obj,Traditional_NEHVI,5,1,6.903969978643896,0.45073606904357516,12
DTLZ2_5obj,Traditional_NEHVI,5,2,7.96288370000073,0.43529373046907444,12
DTLZ2_5obj,Traditional_NEHVI,5,3,8.71950642166242,0.47599860458212856,12
DTLZ2_5obj,Traditional_NEHVI,5,4,7.053288435718535,0.449580188499629,12
DTLZ2_5obj,Traditional_NEHVI,5,5,7.676034294679871,0.4791930204315025,12
DTLZ2_5obj,Traditional_NEHVI,5,6,7.7071748586523725,0.4570275606352271,12
DTLZ2_5obj,Traditional_NEHVI,5,7,5.515717327743827,0.4492626975819728,12
DTLZ2_5obj,Traditional_NEHVI,5,8,8.29708356682334,0.47532803752990616,12
DTLZ2_5obj,Traditional_NEHVI,5,9,7.003641629270517,0.4309517663900414,12
DTLZ2_5obj,Traditional_NEHVI,10,0,6.566089170044796,0.44799054299020263,12
DTLZ2_5obj,Traditional_NEHVI,10,1,6.903969978643896,0.45073606904357516,12
DTLZ2_5obj,Traditional_NEHVI,10,2,7.96288370000073,0.43529373046907444,12
DTLZ2_5obj,Traditional_NEHVI,10,3,8.71950642166242,0.47599860458212856,12
DTLZ2_5obj,Traditional_NEHVI,10,4,7.053288435718535,0.449580188499629,12
DTLZ2_5obj,Traditional_NEHVI,10,5,7.676034294679871,0.4791930204315025,12
DTLZ2_5obj,Traditional_NEHVI,10,6,7.7071748586523725,0.4570275606352271,12
DTLZ2_5obj,Traditional_NEHVI,10,7,5.515717327743827,0.4492626975819728,12
DTLZ2_5obj,Traditional_NEHVI,10,8,8.29708356682334,0.47532803752990616,12
DTLZ2_5obj,Traditional_NEHVI,10,9,7.003641629270517,0.4309517663900414,12
DTLZ2_5obj,Traditional_NEHVI,20,0,6.566089170044796,0.44799054299020263,12
DTLZ2_5obj,Traditional_NEHVI,20,1,6.903969978643896,0.45073606904357516,12
DTLZ2_5obj,Traditional_NEHVI,20,2,7.96288370000073,0.43529373046907444,12
DTLZ2_5obj,Traditional_NEHVI,20,3,8.71950642166242,0.47599860458212856,12
DTLZ2_5obj,Traditional_NEHVI,20,4,7.053288435718535,0.449580188499629,12
DTLZ2_5obj,Traditional_NEHVI,20,5,7.676034294679871,0.4791930204315025,12
DTLZ2_5obj,Traditional_NEHVI,20,6,7.7071748586523725,0.4570275606352271,12
DTLZ2_5obj,Traditional_NEHVI,20,7,5.515717327743827,0.4492626975819728,12
DTLZ2_5obj,Traditional_NEHVI,20,8,8.29708356682334,0.47532803752990616,12
