problem,algorithm,noise_pct,trial,igd
ZDT3,NEHVI_SMS,10,2,0.004033125146295476
ZDT3,NEHVI_SMS,10,3,0.00242692440263109
ZDT3,NEHVI_SMS,10,4,0.004105510309288971
ZDT3,NEHVI_SMS,0,0,0.0047242984536193695
ZDT3,NEHVI_SMS,0,1,0.003382703598670607
ZDT3,NEHVI_SMS,0,2,0.0031159750094319916
ZDT3,NEHVI_SMS,0,3,0.0032740110655090035
ZDT3,NEHVI_SMS,0,4,0.0053724240469285945
ZDT3,NEHVI_SMS,20,0,0.0023837418930306004
ZDT3,NEHVI_SMS,20,1,0.0035705638981818858
ZDT3,NEHVI_SMS,20,2,0.0028876138500491975
ZDT3,NEHVI_SMS,20,3,0.004709804646705051
ZDT3,NEHVI_SMS,20,4,0.0034087620903701633
ZDT3,NEHVI_AGE2,5,0,0.002295851365015858
ZDT3,NEHVI_AGE2,5,1,0.003268749676501063
ZDT3,NEHVI_AGE2,5,2,0.002334233208818186
ZDT3,NEHVI_AGE2,5,3,0.0023650235365311376
ZDT3,NEHVI_AGE2,5,4,0.003305179334159733
ZDT3,NEHVI_AGE2,1,0,0.0030627651716664947
ZDT3,NEHVI_AGE2,1,1,0.003084712186005248
ZDT3,NEHVI_AGE2,1,2,0.005311367053808599
ZDT3,NEHVI_AGE2,1,3,0.0029665498407023126
ZDT3,NEHVI_AGE2,1,4,0.003579758693024696
ZDT3,NEHVI_AGE2,10,0,0.0019976792901155345
ZDT3,NEHVI_AGE2,10,1,0.002823252861120307
ZDT3,NEHVI_AGE2,10,2,0.004910242455063468
ZDT3,NEHVI_AGE2,10,3,0.002513972819798666
ZDT3,NEHVI_AGE2,10,4,0.0024277708425444015
ZDT3,NEHVI_AGE2,0,0,0.0033505169169979424
ZDT3,NEHVI_AGE2,0,1,0.002990944895201223
ZDT3,NEHVI_AGE2,0,2,0.004831588232937432
ZDT3,NEHVI_AGE2,0,3,0.00633696202176903
ZDT3,NEHVI_AGE2,0,4,0.0035540860706860153
ZDT3,NEHVI_AGE2,20,0,0.002213654503409086
ZDT3,NEHVI_AGE2,20,1,0.0028452317280034324
