problem,algorithm,noise_pct,trial,batch,igd_estimated
DTLZ2_5obj,EGBO,1,1,10,0.5226357500414045
DTLZ2_5obj,EGBO,1,1,11,0.4596973189320637
DTLZ2_5obj,EGBO,1,2,0,0.9682635989538184
DTLZ2_5obj,EGBO,1,2,1,0.9464730633844877
DTLZ2_5obj,EGBO,1,2,2,0.9317586994232352
DTLZ2_5obj,EGBO,1,2,3,0.8310445567572187
DTLZ2_5obj,EGBO,1,2,4,0.820762050311345
DTLZ2_5obj,EGBO,1,2,5,0.8126590543248126
DTLZ2_5obj,EGBO,1,2,6,0.7222064886658937
DTLZ2_5obj,EGBO,1,2,7,0.6653520522962562
DTLZ2_5obj,EGBO,1,2,8,0.6565282703853623
DTLZ2_5obj,EGBO,1,2,9,0.585926248793207
DTLZ2_5obj,EGBO,1,2,10,0.5630240434762274
DTLZ2_5obj,EGBO,1,2,11,0.4841317994769092
DTLZ2_5obj,EGBO,1,3,0,1.092793387624926
DTLZ2_5obj,EGBO,1,3,1,1.0017130566368306
DTLZ2_5obj,EGBO,1,3,2,0.995252643151591
DTLZ2_5obj,EGBO,1,3,3,0.9335543734866074
DTLZ2_5obj,EGBO,1,3,4,0.8792973184657424
DTLZ2_5obj,EGBO,1,3,5,0.8644685075573342
DTLZ2_5obj,EGBO,1,3,6,0.8498276296574757
DTLZ2_5obj,EGBO,1,3,7,0.7200329083412179
DTLZ2_5obj,EGBO,1,3,8,0.6783370260608881
DTLZ2_5obj,EGBO,1,3,9,0.6646362558071364
DTLZ2_5obj,EGBO,1,3,10,0.6248074721117303
DTLZ2_5obj,EGBO,1,3,11,0.546396693812463
DTLZ2_5obj,EGBO,1,4,0,0.8954179593688142
DTLZ2_5obj,EGBO,1,4,1,0.8846651115400305
DTLZ2_5obj,EGBO,1,4,2,0.8770240617290157
DTLZ2_5obj,EGBO,1,4,3,0.8382239020871416
DTLZ2_5obj,EGBO,1,4,4,0.7674344112448106
DTLZ2_5obj,EGBO,1,4,5,0.7072585247470212
DTLZ2_5obj,EGBO,1,4,6,0.6794096534618407
DTLZ2_5obj,EGBO,1,4,7,0.6718665680039071
DTLZ2_5obj,EGBO,1,4,8,0.6709642026679045
DTLZ2_5obj,EGBO,1,4,9,0.6110897432329927
DTLZ2_5obj,EGBO,1,4,10,0.5312397591953577
DTLZ2_5obj,EGBO,1,4,11,0.4477089796844071
DTLZ2_5obj,EGBO,1,5,0,0.9290082886487401
DTLZ2_5obj,EGBO,1,5,1,0.8808479152720745
DTLZ2_5obj,EGBO,1,5,2,0.8653785339810427
DTLZ2_5obj,EGBO,1,5,3,0.8266557660399357
DTLZ2_5obj,EGBO,1,5,4,0.7910668597986483
DTLZ2_5obj,EGBO,1,5,5,0.7650970343866548
DTLZ2_5obj,EGBO,1,5,6,0.7060703768923295
DTLZ2_5obj,EGBO,1,5,7,0.6050001376122207
DTLZ2_5obj,EGBO,1,5,8,0.5683490976717946
DTLZ2_5obj,EGBO,1,5,9,0.5426012651561488
DTLZ2_5obj,EGBO,1,5,10,0.4952995396739782
DTLZ2_5obj,EGBO,1,5,11,0.46450414432437004
DTLZ2_5obj,EGBO,1,6,0,0.9890381416309131
DTLZ2_5obj,EGBO,1,6,1,0.9369247336927562
DTLZ2_5obj,EGBO,1,6,2,0.8180265404766132
DTLZ2_5obj,EGBO,1,6,3,0.779392282918047
DTLZ2_5obj,EGBO,1,6,4,0.7593175672562966
DTLZ2_5obj,EGBO,1,6,5,0.6942147041279021
DTLZ2_5obj,EGBO,1,6,6,0.6384554536846605
DTLZ2_5obj,EGBO,1,6,7,0.6073866043372764
DTLZ2_5obj,EGBO,1,6,8,0.5880575713575924
DTLZ2_5obj,EGBO,1,6,9,0.539716514040588
DTLZ2_5obj,EGBO,1,6,10,0.5173101491420959
DTLZ2_5obj,EGBO,1,6,11,0.49451907081545654
DTLZ2_5obj,EGBO,1,7,0,0.9422156549853167
DTLZ2_5obj,EGBO,1,7,1,0.8854273843294338
DTLZ2_5obj,EGBO,1,7,2,0.8482808775749672
DTLZ2_5obj,EGBO,1,7,3,0.7232743739190841
DTLZ2_5obj,EGBO,1,7,4,0.7229184674555975
DTLZ2_5obj,EGBO,1,7,5,0.6973779378794029
DTLZ2_5obj,EGBO,1,7,6,0.6684492976353467
DTLZ2_5obj,EGBO,1,7,7,0.6492871725112659
DTLZ2_5obj,EGBO,1,7,8,0.6091625027772871
DTLZ2_5obj,EGBO,1,7,9,0.5813293155637926
DTLZ2_5obj,EGBO,1,7,10,0.5420025110380987
DTLZ2_5obj,EGBO,1,7,11,0.47110782749265834
DTLZ2_5obj,EGBO,1,8,0,0.8960274649236949
DTLZ2_5obj,EGBO,1,8,1,0.8960274649236949
DTLZ2_5obj,EGBO,1,8,2,0.8195717795725694
DTLZ2_5obj,EGBO,1,8,3,0.8057433116187548
DTLZ2_5obj,EGBO,1,8,4,0.77995002607722
DTLZ2_5obj,EGBO,1,8,5,0.7373239015692459
DTLZ2_5obj,EGBO,1,8,6,0.6834670165030887
DTLZ2_5obj,EGBO,1,8,7,0.6000558084460685
DTLZ2_5obj,EGBO,1,8,8,0.5838731115691548
DTLZ2_5obj,EGBO,1,8,9,0.5378677506424149
DTLZ2_5obj,EGBO,1,8,10,0.4905335502966222
DTLZ2_5obj,EGBO,1,8,11,0.44801373246184745
DTLZ2_5obj,EGBO,1,9,0,1.0303413158329593
DTLZ2_5obj,EGBO,1,9,1,0.9233101377764088
DTLZ2_5obj,EGBO,1,9,2,0.9222191349576079
DTLZ2_5obj,EGBO,1,9,3,0.9057006991726964
DTLZ2_5obj,EGBO,1,9,4,0.8791205148112075
DTLZ2_5obj,EGBO,1,9,5,0.8244557132370917
DTLZ2_5obj,EGBO,1,9,6,0.79811799974995
DTLZ2_5obj,EGBO,1,9,7,0.760908146406593
DTLZ2_5obj,EGBO,1,9,8,0.7220769678851793
DTLZ2_5obj,EGBO,1,9,9,0.6039840143300574
DTLZ2_5obj,EGBO,1,9,10,0.5403490374773356
DTLZ2_5obj,EGBO,1,9,11,0.5151706579164796
